Product,Type,Release Date,Process Size (nm),TDP (W),Cores,Freq (MHz),Foundry,Vendor,Benchmark
Intel Pentium 41300MHz,CPU,2001-01-03,180,52,1,1300,Intel,Intel,77
Intel Pentium 41.50GHz,CPU,2001-08-27,180,58,1,1500,Intel,Intel,86
Intel Pentium III 866MHz,CPU,2001-06-01,180,38,1,866,Intel,Intel,99
Intel Celeron B710,CPU,2011-06-19,32,35,1,1600,Intel,Intel,106
Intel Pentium 4 1.60GHz,CPU,2001-08-27,180,61,1,1600,Intel,Intel,116
Intel Pentium 4 1.60GHz,CPU,2000-11-20,180,55,1,1400,Intel,Intel,116
Intel Pentium 4 1.60GHz,CPU,2000-11-20,180,58,1,1500,Intel,Intel,116
Intel Pentium 4 1.60GHz,CPU,2001-07-02,180,61,1,1600,Intel,Intel,116
Intel Pentium III 800MHz,CPU,2001-06-01,180,38,1,800,Intel,Intel,119
Intel Atom Z520,CPU,2009-03-02,45,2,1,1100,Intel,Intel,122
Intel Atom Z520,CPU,2009-04-08,45,2,1,2000,Intel,Intel,122
Intel Atom Z520,CPU,2008-04-02,45,2,1,1334,Intel,Intel,122
Intel Atom Z520,CPU,2009-03-02,45,2,1,1334,Intel,Intel,122
Intel Core Solo U1400,CPU,2006-04-19,65,5,1,1200,Intel,Intel,130
Intel Pentium 42.40GHz,CPU,2002-04-02,130,110,1,2400,Intel,Intel,131
Intel Pentium 4 2.00GHz,CPU,2002-01-07,130,92,1,2000,Intel,Intel,132
Intel Pentium 4 2.00GHz,CPU,2001-01-01,130,110,1,2000,Intel,Intel,132
Intel Pentium 4 2.00GHz,CPU,2001-08-27,180,72,1,2000,Intel,Intel,132
Intel Pentium 4 2.00GHz,CPU,2001-08-27,180,72,1,2000,Intel,Intel,132
Intel Celeron 2.00GHz,CPU,2002-09-18,130,73,1,2000,Intel,Intel,133
Intel Celeron 2.00GHz,CPU,2002-09-18,130,73,1,2000,Intel,Intel,133
Intel Pentium 4 1.90GHz,CPU,2001-08-27,180,69,1,1900,Intel,Intel,136
Intel Pentium 4 1.90GHz,CPU,2001-08-27,180,69,1,1900,Intel,Intel,136
Intel Pentium M 900MHz,CPU,2004-06-23,90,21,1,1600,Intel,Intel,141
Intel Celeron 2.60GHz,CPU,2003-06-25,130,73,1,2600,Intel,Intel,143
Intel Celeron 2.20GHz,CPU,2002-11-20,130,73,1,2200,Intel,Intel,147
Intel Celeron 2.30GHz,CPU,2003-03-31,130,73,1,2300,Intel,Intel,148
Intel Pentium 42.26GHz,CPU,2002-01-07,130,110,1,2261,Intel,Intel,151
Intel Xeon 2.00GHz,CPU,2002-02-25,130,89,1,2000,Intel,Intel,152
Intel Celeron 2.40GHz,CPU,2003-03-31,130,73,1,2400,Intel,Intel,154
AMD Athlon 64 2000+,CPU,2008-06-01,65,8,1,1000,Unknown,AMD,154
Intel Pentium III 1200MHz,CPU,2001-07-01,130,30,1,1266,Intel,Intel,156
Intel Pentium III 1200MHz,CPU,2001-07-01,130,30,1,1200,Intel,Intel,156
Intel Pentium 42.20GHz,CPU,2002-01-07,130,92,1,2200,Intel,Intel,157
Intel Atom Z670,CPU,2010-05-04,45,2,1,1000,Intel,Intel,158
Intel Atom Z670,CPU,2010-05-04,45,2,1,1900,Intel,Intel,158
Intel Atom Z670,CPU,2011-04-11,45,3,1,1500,Intel,Intel,158
Intel Atom Z670,CPU,2010-05-04,45,1,1,800,Intel,Intel,158
Intel Atom Z670,CPU,2010-05-04,45,1,1,1200,Intel,Intel,158
Intel Celeron 2.70GHz,CPU,2003-09-24,130,73,1,2700,Intel,Intel,159
Intel Atom E3815,CPU,2013-10-08,22,5,1,1467,Intel,Intel,159
Intel Pentium III 1066MHz,CPU,2001-06-01,180,29,1,1000,Intel,Intel,160
Intel Pentium III 1066MHz,CPU,2001-06-01,130,30,1,1000,Intel,Intel,160
Intel Pentium III 1066MHz,CPU,2001-07-01,130,30,1,1000,Intel,Intel,160
Intel Pentium III 1133MHz,CPU,2001-06-01,180,29,1,1133,Intel,Intel,164
Intel Core Solo U1500,CPU,2006-04-19,65,5,1,1333,Intel,Intel,164
Intel Pentium III 1133MHz,CPU,2000-07-31,180,29,1,1133,Intel,Intel,164
Intel Pentium III 1133MHz,CPU,2001-07-01,130,29,1,1133,Intel,Intel,164
Intel Celeron 2.13GHz,CPU,2002-11-20,130,73,1,2100,Intel,Intel,166
AMD Athlon XP 1500+,CPU,2001-10-09,180,60,1,1333,Unknown,AMD,167
AMD Athlon XP 1600+,CPU,2001-01-01,130,49,1,1400,Unknown,AMD,174
AMD Athlon XP 1600+,CPU,2001-10-09,180,63,1,1400,Unknown,AMD,174
Intel Atom N280,CPU,2008-06-03,45,3,1,1667,Intel,Intel,175
Intel Atom N270,CPU,2008-06-03,45,3,1,1600,Intel,Intel,175
AMD Athlon XP 1700+,CPU,2001-01-01,130,50,1,1467,Unknown,AMD,176
AMD Athlon XP 1700+,CPU,2001-01-01,130,50,1,1467,Unknown,AMD,176
AMD Athlon XP 1700+,CPU,2001-10-09,180,64,1,1467,Unknown,AMD,176
Intel Atom D410,CPU,2010-01-04,45,10,1,1667,Intel,Intel,177
Intel Atom N450,CPU,2009-12-21,45,6,1,1667,Intel,Intel,177
AMD C-30,CPU,2011-01-04,40,9,1,1200,Unknown,AMD,178
Intel Atom N475,CPU,2010-06-01,45,7,1,1834,Intel,Intel,179
Intel Atom N455,CPU,2010-06-01,45,7,1,1667,Intel,Intel,179
Intel Xeon 2.40GHz,CPU,2002-04-23,130,89,1,2394,Intel,Intel,180
Intel Pentium 42.66GHz,CPU,2002-08-25,130,110,1,2660,Intel,Intel,182
AMD E-240,CPU,2011-01-04,40,18,1,1500,Unknown,AMD,182
Intel Atom Z530,CPU,2009-04-08,45,1,1,1200,Intel,Intel,183
Intel Atom Z530,CPU,2008-04-02,45,2,1,1600,Intel,Intel,183
Intel Atom Z530,CPU,2010-06-01,45,2,1,2133,Intel,Intel,183
Intel Atom Z530,CPU,2009-03-02,45,2,1,1100,Intel,Intel,183
Intel Atom Z530,CPU,2009-03-02,45,2,1,1600,Intel,Intel,183
