Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,3D_Bench,2D_Bench
GeForce2 Go,GPU,2000-11-11,180,2,64,20,143,TSMC,NVIDIA,4,95
Quadro NVS 280 SD,GPU,2005-05-31,150,10,65,29,250,TSMC,NVIDIA,2,119
Radeon 7200,GPU,2000-06-01,180,23,111,30,143,TSMC,ATI,3,94
Radeon 7200,GPU,2000-04-01,180,23,111,30,166,TSMC,ATI,3,94
Radeon VE,GPU,2001-02-19,180,23,115,30,183,TSMC,ATI,2,36
FireMV 2200 PCI,GPU,2006-01-01,150,15,98,36,240,UMC,ATI,1,153
Radeon 9000,GPU,2002-07-18,150,28,97,36,275,TSMC,ATI,5,126
Radeon 9000,GPU,2002-07-01,150,28,97,36,250,TSMC,ATI,5,126
RADEON 9000 Family,GPU,2004-03-14,150,28,97,36,275,TSMC,ATI,4,123
Radeon 9200,GPU,2003-05-01,150,28,98,36,250,UMC,ATI,4,135
Radeon 9200,GPU,2003-05-01,150,28,98,36,250,UMC,ATI,4,135
RADEON 9200 PRO Family,GPU,2003-05-01,150,28,98,36,240,UMC,ATI,3,135
Radeon 9200 SE,GPU,2003-03-01,150,28,98,36,200,UMC,ATI,3,129
Quadro NVS 280 PCI,GPU,2003-10-28,150,13,91,45,275,TSMC,NVIDIA,8,261
RADEON 9600SE,GPU,2003-10-01,130,12,76,60,324,TSMC,ATI,27,143
Radeon 9600 PRO,GPU,2003-10-01,130,18,76,60,400,TSMC,ATI,43,163
Radeon 9600 XT,GPU,2003-10-01,130,22,76,60,500,TSMC,ATI,35,147
Radeon 7500,GPU,2002-04-16,150,23,83,60,260,TSMC,ATI,3,35
Radeon 7500,GPU,2001-08-14,150,23,83,60,290,TSMC,ATI,3,35
Radeon 7500,GPU,2001-08-14,150,23,83,60,250,TSMC,ATI,3,35
RADEON 8500 Family,GPU,2002-02-04,150,23,120,60,250,TSMC,ATI,7,146
Radeon X1050,GPU,2007-11-25,130,24,76,60,250,TSMC,ATI,49,245
Radeon X1050,GPU,2006-12-07,130,24,76,60,250,TSMC,ATI,49,245
Mobility FireGL 7800,GPU,2001-09-29,150,27,68,60,280,TSMC,ATI,5,86
Mobility Radeon 7500,GPU,2001-12-01,150,27,68,60,280,TSMC,ATI,4,103
MOBILITY RADEON 7500,GPU,2001-12-01,150,27,68,60,230,TSMC,ATI,4,103
RADEON 9100 Family,GPU,2003-04-01,150,28,120,60,250,TSMC,ATI,6,163
GeForce Go 6200,GPU,2006-02-01,110,16,110,75,300,TSMC,NVIDIA,15,204
Quadro NVS 285,GPU,2006-06-06,110,18,110,75,275,TSMC,NVIDIA,39,185
FireMV 2400 PCIe,GPU,2008-01-01,130,20,92,75,500,TSMC,ATI,11,283
MOBILITY RADEON X600 SE,GPU,2004-09-01,130,36,92,75,400,TSMC,ATI,49,233
FireGL V3200,GPU,2004-09-01,130,46,92,75,500,TSMC,ATI,85,236
GeForce FX 5600,GPU,2003-03-06,130,37,121,80,325,TSMC,NVIDIA,13,168
GeForce FX 5700,GPU,2003-10-23,130,25,133,82,425,TSMC,NVIDIA,41,173
GeForce FX 5700 Ultra,GPU,2003-10-23,130,46,133,82,475,TSMC,NVIDIA,34,126
GeForce PCX 5750,GPU,2004-02-17,130,50,125,82,425,TSMC,NVIDIA,35,310
FireMV 2200 PCI,GPU,2006-01-01,110,15,74,107,324,TSMC,ATI,1,153
Radeon X1050,GPU,2006-12-07,110,24,74,107,400,TSMC,ATI,49,245
Radeon X1550,GPU,2007-01-01,80,27,100,107,452,UMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,90,27,100,107,600,TSMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,90,27,100,107,500,TSMC,ATI,67,253
Radeon X1550,GPU,2007-01-01,80,27,100,107,550,UMC,ATI,67,253
Radeon X1600,GPU,2007-01-01,80,27,100,107,635,UMC,ATI,49,209
Radeon X300SE,GPU,2006-10-25,110,30,74,107,325,TSMC,ATI,38,242
RADEON X300SE,GPU,2004-09-01,110,30,74,107,325,TSMC,ATI,38,242
Radeon X1300 PRO,GPU,2005-10-01,90,31,100,107,600,TSMC,ATI,84,313
Radeon X1300 PRO,GPU,2006-11-01,80,31,100,107,600,UMC,ATI,84,313
FireMV 2250,GPU,2007-01-01,80,32,100,107,600,UMC,ATI,46,290
Radeon X600,GPU,2004-09-01,110,36,74,107,325,TSMC,ATI,67,252
Radeon X600,GPU,2004-09-01,110,36,74,107,400,TSMC,ATI,67,252
